"id","numero_serie","tension_r","corriente_r","potencia_a_r","potencia_r_r","tension_s","corriente_s","potencia_a_s","potencia_r_s","tension_t","corriente_t","potencia_a_t","potencia_r_t","temporal_placa","temporal_server","update"
6985,"28562F60A8D8","222.9750061000","15.6403999300","563.3572998000","3436.4787600000","223.2031708000","16.5769233700","593.8444824000","3644.0588380000","225.8581085000","16.2406311000","756.5722046000","3584.7111820000","2025-12-30 11:55:31-03","2025-12-30 11:55:32-03",NULL
5313,"28562F60A8D8","226.4732971000","16.2076988200","588.5603638000","3614.6220700000","226.8700409000","17.4352970100","573.7728882000","3901.9873050000","229.0715179000","17.2394714400","818.6079102000","3855.7558590000","2025-12-30 00:00:14-03","2025-12-30 05:01:57-03",NULL
5314,"28562F60A8D8","226.1989899000","16.1667690300","580.9841919000","3601.5424800000","226.5902405000","17.3680515300","580.4834595000","3879.9287110000","228.9098206000","17.1290493000","811.3771973000","3828.2260740000","2025-12-30 00:00:32-03","2025-12-30 05:01:58-03",NULL
5315,"28562F60A8D8","226.1426849000","16.2225704200","587.1007690000","3612.7607420000","226.3131256000","17.3109588600","572.7330322000","3863.4604490000","228.4907837000","17.1563282000","794.4971924000","3830.9736330000","2025-12-30 00:01:02-03","2025-12-30 05:01:58-03",NULL
5316,"28562F60A8D8","226.9640350000","16.2111778300","581.8631592000","3624.3857420000","227.2691803000","17.4423580200","574.8808594000","3910.3007810000","229.5253296000","17.2231845900","818.5992432000","3859.7062990000","2025-12-30 00:01:40-03","2025-12-30 05:01:58-03",NULL
5317,"28562F60A8D8","226.8127441000","16.2126693700","582.7918701000","3621.4748540000","227.2265930000","17.3775672900","584.0530396000","3892.4060060000","229.2896271000","17.1350688900","808.8978271000","3836.5195310000","2025-12-30 00:02:03-03","2025-12-30 05:01:58-03",NULL
5318,"28562F60A8D8","226.9015045000","16.2312583900","596.0044556000","3625.5832520000","227.0307159000","17.4080219300","577.6939697000","3897.3894040000","229.6042328000","17.2740631100","816.8466797000","3873.1464840000","2025-12-30 00:02:31-03","2025-12-30 05:01:58-03",NULL
5319,"28562F60A8D8","226.5967712000","16.1788787800","599.2918091000","3608.7014160000","226.7847290000","17.3820209500","567.9220581000","3889.5046390000","229.0045776000","17.2616519900","817.7738037000","3860.2275390000","2025-12-30 00:03:01-03","2025-12-30 05:01:59-03",NULL
5320,"28562F60A8D8","226.2459564000","16.1669120800","602.7614746000","3599.7951660000","226.7783508000","17.2431335400","573.2191772000","3856.9465330000","228.8884583000","17.1744804400","791.8108521000","3843.8085940000","2025-12-30 00:03:31-03","2025-12-30 05:01:59-03",NULL
5321,"28562F60A8D8","226.1369476000","16.1620693200","578.0584106000","3600.5971680000","226.4638977000","17.2090969100","563.9185791000","3844.2944340000","228.9329224000","17.1023330700","771.6361694000","3831.5942380000","2025-12-30 00:04:02-03","2025-12-30 05:01:59-03",NULL
