nro_empresa,nro_orden_trabajo,nro_agenda,it_proceso,fecha_inicio,cod_puesto_trabajo,fecha_fin,cant_prog,cant_buenas,cant_malas,usuario_alta,fecha_alta,nro_agenda,cod_art_padre,cod_art,orden,id_chapa,herramental,oc_terc,ubicacion_almacen,almacen,cod_art_cli,usuario_prod,cod_puesto_trabajo,descripcion,dif_min,Espesor,nombre,nro_vta,it_vta,unico,cant_usuario,fecha_usuario,usuario_user,nom_nesting,largo,ancho,peso,gui_nro_personas,gui_nro_golpes,ple_nro_personas,ple_nro_golpes,ple_camb_herra,tiempo_proc
1,1252009,1552494,2,26/11/2025 20:23:34,16,26/11/2025 20:40:09,1,1,0,,01/01/1900 00:00:00,1552494,ROMO-00233,ROMO-00194,2,,p117 m2,0,,,ROMO-00194,DCIPRIAN,16,PLEGADORA 3 B MB8,17,3.20,Ch. 1/8" Corte laser y plegado - 300256 - 001357,64619,1,0,1,30/12/2025 09:52:09:653,DCIPRIAN,,804.3,180,3.14644867296,,,1,3,1,16.580
1,1252010,1552495,2,26/11/2025 20:40:10,16,26/11/2025 20:56:45,1,1,0,,01/01/1900 00:00:00,1552495,ROMO-00233,ROMO-00195,2,,p117 m2,0,,,ROMO-00195,DCIPRIAN,16,PLEGADORA 3 B MB8,16,3.20,Ch 1/8" laser y pleg - 300257 - 01358 SOPORTE IZQUIERDO PARA,64619,1,0,1,30/12/2025 09:55:39:803,DCIPRIAN,,811,206,3.1464485472,,,1,3,1,16.580
1,1253129,1553624,2,28/11/2025 19:06:04,44,28/11/2025 19:29:32,6,6,0,,01/01/1900 00:00:00,1553624,MICR-07047,MICR-07047,2,,p6m13,0,,,424219106,VYANANTU,44,PLEGADORA 9 I TANDEM PHE 1200 T,23,7.93,Ch. 5/16" Corte plasma y plegado - 424219106,64641,4,0,6,30/12/2025 16:55:14:39,VYANANTU,,6905,580,241.5006238111428,,,2,4,1,23.460
1,1253130,1553625,2,28/11/2025 19:29:33,44,28/11/2025 19:53:01,6,6,0,,01/01/1900 00:00:00,1553625,MICR-07046,MICR-07046,2,,p6 m13,0,,,424219105,IOJEDA,44,PLEGADORA 9 I TANDEM PHE 1200 T,24,7.93,Ch 5/16" Corte plasma y plegado - 424219105,64641,1,0,6,30/12/2025 10:38:46:45,IOJEDA,,6905,580,241.500624060462,,,2,4,1,23.460
1,1253125,1553620,2,29/11/2025 06:45:22,40,29/11/2025 07:01:17,1,1,0,,01/01/1900 00:00:00,1553620,ROMO-00224,ROMO-00202,2,,m30 p150,0,,,ROMO-00202,MENDOZA,40,PLEGADORA 4 I PHE 200 T,16,12.70,Ch 1/2" Laser y pleg - 300122 - 00408 SOPORTE INFERIOR IZQUI,64619,1,0,1,30/12/2025 14:12:25:863,MENDOZA,,130,117,1.00774102236,,,1,1,1,15.925
1,1253126,1553621,2,29/11/2025 07:01:18,40,29/11/2025 07:17:13,1,1,0,,01/01/1900 00:00:00,1553621,ROMO-00224,ROMO-00201,2,,m30 p150,0,,,ROMO-00201,MENDOZA,40,PLEGADORA 4 I PHE 200 T,16,12.70,Ch 1/2" Laser y pleg - 300121 - 00407 SOPORTE INFERIOR DEREC,64619,1,0,1,30/12/2025 13:59:23:863,MENDOZA,,130,117,1.00774102236,,,1,1,1,15.925
1,1253127,1553622,2,29/11/2025 07:17:14,40,29/11/2025 07:33:29,1,1,0,,01/01/1900 00:00:00,1553622,ROMO-00234,ROMO-00196,2,,m30 p150,0,,,ROMO-00196,MENDOZA,40,PLEGADORA 4 I PHE 200 T,16,12.70,Ch. 1/2" Corte laser y plegado - 300269 - 001400,64619,1,0,1,30/12/2025 14:44:57:497,MENDOZA,,613.4,101.6,6.0937986963,,,1,2,1,16.253
1,1255300,1555868,2,04/12/2025 06:30:46,16,04/12/2025 06:47:21,1,1,0,,01/01/1900 00:00:00,1555868,ROMO-00233,ROMO-00195,2,,p117 m2,0,,,ROMO-00195,DCIPRIAN,16,PLEGADORA 3 B MB8,17,3.20,Ch 1/8" laser y pleg - 300257 - 01358 SOPORTE IZQUIERDO PARA,64699,1,0,1,30/12/2025 09:55:39:8,DCIPRIAN,,811,206,3.1464485472,,,1,3,1,16.580
1,1255301,1555869,2,04/12/2025 06:47:22,16,04/12/2025 07:03:57,1,1,0,,01/01/1900 00:00:00,1555869,ROMO-00233,ROMO-00194,2,,p117 m2,0,,,ROMO-00194,DCIPRIAN,16,PLEGADORA 3 B MB8,16,3.20,Ch. 1/8" Corte laser y plegado - 300256 - 001357,64699,1,0,1,30/12/2025 09:52:09:65,DCIPRIAN,,804.3,180,3.14644867296,,,1,3,1,16.580
1,1255311,1555881,2,04/12/2025 08:43:34,16,04/12/2025 09:00:09,1,1,0,,01/01/1900 00:00:00,1555881,ROMO-00233,ROMO-00194,2,,p117 m2,0,,,ROMO-00194,DCIPRIAN,16,PLEGADORA 3 B MB8,17,3.20,Ch. 1/8" Corte laser y plegado - 300256 - 001357,64700,1,0,1,30/12/2025 09:52:09:653,DCIPRIAN,,804.3,180,3.14644867296,,,1,3,1,16.580
