maquina,tipo_alarma,descripcion,ubicacion,criterio,fase_critica,valor_medido,valor_limite,fecha_primera_deteccion,duracion_min
PLE1,SOBRECORRIENTE_TRIFASICA,Sobrecorriente sostenida en las tres fases,RST,MAX_FASE,S,18.507283822173914,17.87495083805592,2026-01-09 18:20:31-03:00,7.7
PLE1,SOBRECORRIENTE_TRIFASICA,Sobrecorriente sostenida en las tres fases,RST,MAX_FASE,S,19.0941248564042,17.87495083805592,2026-01-09 18:40:51-03:00,15.983333333333333
PLE1,SOBRECORRIENTE,Sobrecorriente sostenida monofásica,R,FASE_UNICA,R,16.910964615771533,16.73396334049432,2026-01-09 16:56:16-03:00,423.6166666666667
PLE1,SOBRECORRIENTE,Sobrecorriente sostenida monofásica,S,FASE_UNICA,S,18.014106683052944,17.87495083805592,2026-01-09 16:56:01-03:00,423.8666666666667
PLE1,SOBRECORRIENTE,Sobrecorriente sostenida monofásica,T,FASE_UNICA,T,16.855717543219647,16.711696009454855,2026-01-09 16:58:07-03:00,294.85
PLE7,SOBRECORRIENTE_TRIFASICA,Sobrecorriente sostenida en las tres fases,RST,MAX_FASE,T,30.044648771764706,29.12794680127313,2026-01-09 18:40:55-03:00,9.983333333333333
PLE7,SOBRECORRIENTE_TRIFASICA,Sobrecorriente sostenida en las tres fases,RST,MAX_FASE,T,29.61354227553571,29.12794680127313,2026-01-09 22:41:07-03:00,9.4
PLE7,SOBRECORRIENTE,Sobrecorriente sostenida monofásica,R,FASE_UNICA,R,12.185444041035627,12.036416773227321,2026-01-09 16:57:31-03:00,323.21666666666664
PLE7,SOBRECORRIENTE,Sobrecorriente sostenida monofásica,S,FASE_UNICA,S,25.999153889029852,25.553475027174926,2026-01-09 16:56:31-03:00,423.45
PLE7,SOBRECORRIENTE,Sobrecorriente sostenida monofásica,T,FASE_UNICA,T,29.421900043228987,29.12794680127313,2026-01-09 16:56:31-03:00,423.45
PLE7,DESEQUILIBRIO_TRIFASICO,Desequilibrio de corrientes trifásicas,RST,MAX_DESVIO_SOBRE_MEDIA,T,45.84561274340677,10.0,2026-01-09 16:56:03-03:00,423.9166666666667
